state,n,f_hz,kappa_ba,qfi,N_basis,converged,loss_config,eta,scaling_exponent
coherent,1.0,30.0,1.0547108260943505,3.1696796422469786,40,True,pn_ba1_detection,0.9,-0.10624951294689318
coherent,2.0,30.0,1.0547108260943505,3.073231123629146,40,True,pn_ba1_detection,0.9,-0.10624951294689318
coherent,5.0,30.0,1.0547108260943505,2.8162175629750523,70,True,pn_ba1_detection,0.9,-0.10624951294689318
coherent,10.0,30.0,1.0547108260943505,2.4719179872376067,100,True,pn_ba1_detection,0.9,-0.10624951294689318
sqz_vac,1.0,30.0,1.0547108260943505,0.6987128430900331,40,True,pn_ba1_detection,0.9,-0.6074138667726692
sqz_vac,2.0,30.0,1.0547108260943505,0.44664896877269056,70,True,pn_ba1_detection,0.9,-0.6074138667726692
sqz_vac,5.0,30.0,1.0547108260943505,0.25228042934556716,213,True,pn_ba1_detection,0.9,-0.6074138667726692
sqz_vac,10.0,30.0,1.0547108260943505,0.17354781021654875,356,True,pn_ba1_detection,0.9,-0.6074138667726692
cat,1.0,30.0,1.0547108260943505,8.534623257340073,40,True,pn_ba1_detection,0.9,-0.5279641058384723
cat,2.0,30.0,1.0547108260943505,8.403965434547322,40,True,pn_ba1_detection,0.9,-0.5279641058384723
cat,5.0,30.0,1.0547108260943505,4.680307087860138,70,True,pn_ba1_detection,0.9,-0.5279641058384723
cat,10.0,30.0,1.0547108260943505,2.634960601407668,100,True,pn_ba1_detection,0.9,-0.5279641058384723
sqz_cat,1.0,30.0,1.0547108260943505,6.527766314152241,40,True,pn_ba1_detection,0.9,-0.051995641476830085
sqz_cat,2.0,30.0,1.0547108260943505,8.259596938646041,70,True,pn_ba1_detection,0.9,-0.051995641476830085
sqz_cat,5.0,30.0,1.0547108260943505,9.162051282938762,100,True,pn_ba1_detection,0.9,-0.051995641476830085
sqz_cat,10.0,30.0,1.0547108260943505,5.452734431133002,243,True,pn_ba1_detection,0.9,-0.051995641476830085
fock,1.0,30.0,1.0547108260943505,6.969257675877344,40,True,pn_ba1_detection,0.9,0.3749413476434484
fock,2.0,30.0,1.0547108260943505,9.195043607851721,40,True,pn_ba1_detection,0.9,0.3749413476434484
fock,5.0,30.0,1.0547108260943505,13.221821495458254,40,True,pn_ba1_detection,0.9,0.3749413476434484
fock,10.0,30.0,1.0547108260943505,16.395781236682858,70,True,pn_ba1_detection,0.9,0.3749413476434484
opt_fock_sup,1.0,30.0,1.0547108260943505,1.909004546059961,40,True,pn_ba1_detection,0.9,0.44338258822896925
opt_fock_sup,2.0,30.0,1.0547108260943505,6.894312019865056,40,True,pn_ba1_detection,0.9,0.44338258822896925
opt_fock_sup,5.0,30.0,1.0547108260943505,4.488257005947848,70,True,pn_ba1_detection,0.9,0.44338258822896925
opt_fock_sup,10.0,30.0,1.0547108260943505,7.388958584240325,70,True,pn_ba1_detection,0.9,0.44338258822896925
