
coherent: <n> = 2.0000
  f= 1000.0 Hz  kappa=  0.0002  QFI=   3.5820  N= 20  conv=True  (0.6s)
  f=  681.3 Hz  kappa=  0.0006  QFI=   3.5820  N= 20  conv=True  (0.8s)
  f=  464.2 Hz  kappa=  0.0021  QFI=   3.5820  N= 20  conv=True  (0.7s)
  f=  316.2 Hz  kappa=  0.0064  QFI=   3.5819  N= 20  conv=True  (0.7s)
  f=  215.4 Hz  kappa=  0.0167  QFI=   3.5819  N= 20  conv=True  (0.7s)
  f=  146.8 Hz  kappa=  0.0400  QFI=   3.5814  N= 20  conv=True  (0.5s)
  f=  100.0 Hz  kappa=  0.0909  QFI=   3.5792  N= 20  conv=True  (0.5s)
  f=   68.1 Hz  kappa=  0.2008  QFI=   3.5687  N= 20  conv=True  (0.3s)
  f=   46.4 Hz  kappa=  0.4379  QFI=   3.5198  N= 20  conv=True  (0.5s)
  f=   31.6 Hz  kappa=  0.9488  QFI=   3.3078  N= 40  conv=True  (1.6s)
  f=   21.5 Hz  kappa=  2.0495  QFI=   2.5829  N=115  conv=True  (4.3s)
