state,ordering,loss_placement,f_hz,kappa,qfi_epsilon_a,sigma_h,sigma_h_over_hsql,method,cutoff,converged
squeezed,BA1,injection,10.0,97079.71751816789,14.24418173412822,4.401216910126141e-26,0.0012026298881363648,gaussian,0,True
squeezed,BA1,injection,12.115276586285882,64666.33333740737,14.24418173412822,4.451071526740444e-26,0.0014735237039186053,gaussian,0,True
squeezed,BA1,injection,14.677992676220699,42661.77822750102,14.24418173412822,4.523253015081387e-26,0.0018141649330064835,gaussian,0,True
squeezed,BA1,injection,17.78279410038923,27774.396025481048,14.24418173412822,4.6271620890297874e-26,0.0022484018450828836,gaussian,0,True
squeezed,BA1,injection,21.544346900318832,17764.537446089365,14.24418173412822,4.775586762066641e-26,0.0028113783297708354,gaussian,0,True
squeezed,BA1,injection,26.10157215682536,11105.35318349556,14.24418173412822,4.9854477700782674e-26,0.0035557404915458435,gaussian,0,True
squeezed,BA1,injection,31.622776601683793,6749.487979912539,14.24418173412822,5.278391644959031e-26,0.0045610079656225435,gaussian,0,True
squeezed,BA1,injection,38.311868495572874,3969.586460544283,14.24418173412822,5.681082011321902e-26,0.0059473515701247036,gaussian,0,True
squeezed,BA1,injection,46.41588833612777,2252.376878641662,14.24418173412822,6.225150105997348e-26,0.007895428674659609,gaussian,0,True
squeezed,BA1,injection,56.23413251903491,1232.2002252896486,14.24418173412822,6.946985349006813e-26,0.010674698141425623,gaussian,0,True
squeezed,BA1,injection,68.12920690579611,651.1800343107965,14.24418173412822,7.887750292575935e-26,0.014684044998456576,gaussian,0,True
squeezed,BA1,injection,82.54041852680182,333.75582333615046,14.24418173412822,9.094020570658171e-26,0.020510763115581955,gaussian,0,True
squeezed,BA1,injection,100.0,166.75783567172073,14.24418173412822,1.0619251340537307e-25,0.02901704076974542,gaussian,0,True
squeezed,BA1,injection,121.15276586285876,81.65466420304968,14.24418173412822,1.2526022658905871e-25,0.041467298812957624,gaussian,0,True
squeezed,BA1,injection,146.7799267622069,39.37455562134677,14.24418173412822,1.4888897000105758e-25,0.05971568412971317,gaussian,0,True
squeezed,BA1,injection,177.82794100389228,18.773411876910597,14.24418173412822,1.779776305750032e-25,0.08648178414087561,gaussian,0,True
squeezed,BA1,injection,215.44346900318823,8.87845779448332,14.24418173412822,2.136165635521009e-25,0.12575564167754727,gaussian,0,True
squeezed,BA1,injection,261.0157215682536,4.174744780956828,14.24418173412822,2.571315649338506e-25,0.18339237702524122,gaussian,0,True
squeezed,BA1,injection,316.2277660168379,1.9551114949784008,14.24418173412822,3.1013534235762358e-25,0.26798499657847474,gaussian,0,True
squeezed,BA1,injection,383.1186849557285,0.9130574356463572,14.24418173412822,3.7458867467823998e-25,0.3921454642018419,gaussian,0,True
squeezed,BA1,injection,464.15888336127773,0.425584997186887,14.24418173412822,4.528738073962054e-25,0.5743850002064185,gaussian,0,True
squeezed,BA1,injection,562.341325190349,0.19810633841316985,14.24418173412822,5.4788301798531805e-25,0.8418739266007915,gaussian,0,True
