state,ordering,loss_placement,kappa,qfi_epsilon_a,cutoff,converged
squeezed,BA1,injection,0.0,14.244174996201302,73,True
squeezed,BA1,injection,0.25,14.244174996201346,73,True
squeezed,BA1,injection,0.5,14.244174996201341,73,True
squeezed,BA1,injection,1.0,14.244180650253806,88,True
squeezed,BA1,injection,1.5,14.244180989624718,144,True
squeezed,BA1,injection,2.0,14.244180989625118,219,True
squeezed,BA1,injection,3.0,14.24418098962515,438,True
squeezed,BA1,concurrent,0.0,12.753598519212971,73,True
squeezed,BA1,concurrent,0.25,12.222922963327989,73,True
squeezed,BA1,concurrent,0.5,10.866464584190998,99,True
squeezed,BA1,concurrent,1.0,7.52532764298753,88,True
squeezed,BA1,concurrent,1.5,4.976052044580332,195,True
squeezed,BA1,concurrent,2.0,3.375165091622468,340,True
squeezed,BA1,concurrent,3.0,1.7602479410516079,340,False
squeezed,BA1,detection,0.0,11.39533881916791,73,True
squeezed,BA1,detection,0.25,10.921180362439667,73,True
squeezed,BA1,detection,0.5,9.70918491036872,99,True
squeezed,BA1,detection,1.0,6.724244743842371,161,True
squeezed,BA1,detection,1.5,4.446103126139671,195,True
squeezed,BA1,detection,2.0,3.0157136574972885,296,True
squeezed,BA1,detection,3.0,1.571341374303561,700,True
squeezed,BA2,injection,0.0,14.244174996201302,73,True
squeezed,BA2,injection,0.25,14.244174996201362,73,True
squeezed,BA2,injection,0.5,14.244174996201327,73,True
squeezed,BA2,injection,1.0,14.244180650253723,88,True
squeezed,BA2,injection,1.5,14.24418098962475,144,True
squeezed,BA2,injection,2.0,14.24418098962514,219,True
squeezed,BA2,injection,3.0,14.244180989625121,438,True
squeezed,BA2,concurrent,0.0,12.753598519208872,73,True
squeezed,BA2,concurrent,0.25,12.753598519208923,73,True
squeezed,BA2,concurrent,0.5,12.75359851920894,73,True
squeezed,BA2,concurrent,1.0,12.753604272921818,88,True
squeezed,BA2,concurrent,1.5,12.753604576808689,144,True
squeezed,BA2,concurrent,2.0,12.75360457678725,219,True
squeezed,BA2,concurrent,3.0,12.753604576825559,340,True
squeezed,BA2,detection,0.0,11.39533881916791,73,True
squeezed,BA2,detection,0.25,10.92118036243966,73,True
squeezed,BA2,detection,0.5,9.709184910368748,99,True
squeezed,BA2,detection,1.0,6.724244743842374,161,True
squeezed,BA2,detection,1.5,4.4461031261396595,195,True
squeezed,BA2,detection,2.0,3.0157136574973045,296,True
squeezed,BA2,detection,3.0,1.5713413743035565,700,True
squeezed,BA3,injection,0.0,14.244174996201302,73,True
squeezed,BA3,injection,0.25,14.244174996219432,73,True
squeezed,BA3,injection,0.5,14.244174996204151,73,True
squeezed,BA3,injection,1.0,14.244180650153966,88,True
squeezed,BA3,injection,1.5,14.244180989633385,144,True
squeezed,BA3,injection,2.0,14.244180989684892,219,True
squeezed,BA3,injection,3.0,14.244180989638888,438,True
squeezed,BA3,concurrent,0.0,12.753598519208879,73,True
squeezed,BA3,concurrent,0.25,12.560468514630664,73,True
squeezed,BA3,concurrent,0.5,12.014648390408222,73,True
squeezed,BA3,concurrent,1.0,10.235499853180643,119,True
squeezed,BA3,concurrent,1.5,8.209398332199333,195,True
squeezed,BA3,concurrent,2.0,6.428015279704746,296,True
squeezed,BA3,concurrent,3.0,3.9674066152925915,340,False
squeezed,BA3,detection,0.0,11.39533881916791,73,True
squeezed,BA3,detection,0.25,10.921180362450267,73,True
squeezed,BA3,detection,0.5,9.70918491036143,99,True
squeezed,BA3,detection,1.0,6.724244743840027,161,True
squeezed,BA3,detection,1.5,4.4461031261406605,195,True
squeezed,BA3,detection,2.0,3.015713657479527,296,True
squeezed,BA3,detection,3.0,1.5713413743018265,700,True
cat_even,BA1,injection,0.0,9.318144480737146,73,True
cat_even,BA1,injection,0.25,9.318144480737173,73,True
cat_even,BA1,injection,0.5,9.318144480737164,73,True
cat_even,BA1,injection,1.0,9.318144480737114,88,True
cat_even,BA1,injection,1.5,9.318144480737123,144,True
cat_even,BA1,injection,2.0,9.31814448073713,219,True
cat_even,BA1,injection,3.0,9.318144480737136,438,True
cat_even,BA1,concurrent,0.0,8.343051116217323,73,True
cat_even,BA1,concurrent,0.25,7.972716342184524,73,True
cat_even,BA1,concurrent,0.5,7.0409204274457515,73,True
cat_even,BA1,concurrent,1.0,4.885920766926961,88,True
cat_even,BA1,concurrent,1.5,3.4019827254405266,144,True
cat_even,BA1,concurrent,2.0,2.50358685104048,219,True
cat_even,BA1,concurrent,3.0,1.5217257311953178,340,True
cat_even,BA1,detection,0.0,7.454515585535395,73,True
cat_even,BA1,detection,0.25,7.1236214909556885,73,True
cat_even,BA1,detection,0.5,6.2910619065026445,73,True
cat_even,BA1,detection,1.0,4.365569861379696,88,True
cat_even,BA1,detection,1.5,3.0396713256763013,144,True
cat_even,BA1,detection,2.0,2.2369546751613942,219,True
cat_even,BA1,detection,3.0,1.3596618337670323,438,True
cat_even,BA2,injection,0.0,9.318144480737146,73,True
cat_even,BA2,injection,0.25,9.318144480737162,73,True
cat_even,BA2,injection,0.5,9.318144480737157,73,True
cat_even,BA2,injection,1.0,9.318144480737114,88,True
cat_even,BA2,injection,1.5,9.318144480737113,144,True
cat_even,BA2,injection,2.0,9.318144480737134,219,True
cat_even,BA2,injection,3.0,9.31814448073714,438,True
cat_even,BA2,concurrent,0.0,8.343051116216866,73,True
cat_even,BA2,concurrent,0.25,8.343051116216865,73,True
cat_even,BA2,concurrent,0.5,8.343051116216865,73,True
cat_even,BA2,concurrent,1.0,8.343051116222941,88,True
cat_even,BA2,concurrent,1.5,8.343051116226983,144,True
