config,state,nbar,qfi_epsilon_a,cutoff,converged
"no back-action, lossless",coherent,0.25,3.9999999992000004,73,True
"no back-action, lossless",coherent,0.5,3.999999999200004,73,True
"no back-action, lossless",coherent,1.0,3.999999999200006,73,True
"no back-action, lossless",coherent,2.0,3.999999999200003,73,True
"no back-action, lossless",coherent,4.0,3.999999999200001,73,True
"no back-action, lossless",coherent,6.0,3.999999999200002,103,True
"no back-action, lossless",squeezed,0.25,10.472135949516304,73,True
"no back-action, lossless",squeezed,0.5,14.928203219132964,73,True
"no back-action, lossless",squeezed,1.0,23.313708470259773,73,True
"no back-action, lossless",squeezed,2.0,39.59591744124065,99,True
"no back-action, lossless",squeezed,4.0,71.7770867214419,181,True
"no back-action, lossless",squeezed,6.0,103.84592365653515,256,True
"no back-action, lossless",fock,0.25,3.9999999991999995,73,True
"no back-action, lossless",fock,0.5,3.9999999991999995,73,True
"no back-action, lossless",fock,1.0,11.999999994399996,73,True
"no back-action, lossless",fock,2.0,19.999999984799995,73,True
"no back-action, lossless",fock,4.0,35.99999995120004,73,True
"no back-action, lossless",fock,6.0,51.99999989839994,103,True
"no back-action, lossless",cat_even,0.25,10.174507577713632,73,True
"no back-action, lossless",cat_even,0.5,14.173618545169017,73,True
"no back-action, lossless",cat_even,1.0,21.597429103666364,73,True
"no back-action, lossless",cat_even,2.0,36.52270506258937,73,True
"no back-action, lossless",cat_even,4.0,68.02136221839538,73,True
"no back-action, lossless",cat_even,6.0,100.00058941464513,103,True
"no back-action, lossless",cat_odd,1.0,11.99999999440799,73,True
"no back-action, lossless",cat_odd,2.0,35.32006433938746,73,True
"no back-action, lossless",cat_odd,4.0,67.97842137366244,73,True
"no back-action, lossless",cat_odd,6.0,99.99940972583789,103,True
"no back-action, lossless",squeezed_cat,0.25,10.470526687365851,73,True
"no back-action, lossless",squeezed_cat,0.5,14.925023941221998,73,True
"no back-action, lossless",squeezed_cat,1.0,23.308723708932494,73,True
"no back-action, lossless",squeezed_cat,2.0,39.590034083346886,73,True
"no back-action, lossless",squeezed_cat,4.0,71.77185176241444,134,True
"no back-action, lossless",squeezed_cat,6.0,103.84154483753072,189,True
"no back-action, lossless",opt_no_ba,0.25,10.472135949516298,73,True
