state,signal_quadrature,kappa,ordering,qfi_epsilon_a,cutoff,converged
squeezed,epsilon_a (physical),0.5,none,18.856216706915713,99,True
squeezed,epsilon_a (physical),0.5,BA1,16.69441583090441,99,True
squeezed,epsilon_a (physical),0.5,BA2,16.69441583090435,99,True
squeezed,epsilon_a (physical),0.5,BA3,16.694415830892332,99,True
squeezed,epsilon_a (physical),1.5,none,18.856216811074432,144,True
squeezed,epsilon_a (physical),1.5,BA1,8.707829307802434,264,True
squeezed,epsilon_a (physical),1.5,BA2,8.70782930780245,264,True
squeezed,epsilon_a (physical),1.5,BA3,8.707829307835159,264,True
squeezed,epsilon_a (physical),3.0,none,18.856216811080053,438,True
squeezed,epsilon_a (physical),3.0,BA1,3.330469788544056,700,True
squeezed,epsilon_a (physical),3.0,BA2,3.330469788544054,700,True
squeezed,epsilon_a (physical),3.0,BA3,3.330469788539068,700,True
cat_even,epsilon_a (physical),0.5,none,15.365788492055161,73,True
cat_even,epsilon_a (physical),0.5,BA1,13.233856896571254,73,True
cat_even,epsilon_a (physical),0.5,BA2,13.23385689657124,73,True
cat_even,epsilon_a (physical),0.5,BA3,13.233856896586175,73,True
cat_even,epsilon_a (physical),1.5,none,15.365788492055113,144,True
cat_even,epsilon_a (physical),1.5,BA1,5.945533819934736,144,True
cat_even,epsilon_a (physical),1.5,BA2,5.945533819934746,144,True
cat_even,epsilon_a (physical),1.5,BA3,5.94553381994101,144,True
cat_even,epsilon_a (physical),3.0,none,15.365788492055161,438,True
cat_even,epsilon_a (physical),3.0,BA1,2.374478110296835,438,True
cat_even,epsilon_a (physical),3.0,BA2,2.3744781102968564,438,True
cat_even,epsilon_a (physical),3.0,BA3,2.3744781102791284,438,True
fock,epsilon_a (physical),0.5,none,12.182124394260828,73,True
fock,epsilon_a (physical),0.5,BA1,11.348390308484888,73,True
fock,epsilon_a (physical),0.5,BA2,11.348390308484873,73,True
fock,epsilon_a (physical),0.5,BA3,11.34839030846637,73,True
fock,epsilon_a (physical),1.5,none,12.18212439426084,144,True
fock,epsilon_a (physical),1.5,BA1,7.392473556816286,144,True
fock,epsilon_a (physical),1.5,BA2,7.392473556816286,144,True
fock,epsilon_a (physical),1.5,BA3,7.392473556798502,144,True
fock,epsilon_a (physical),3.0,none,12.182124394260855,438,True
fock,epsilon_a (physical),3.0,BA1,3.5270599296790617,438,True
fock,epsilon_a (physical),3.0,BA2,3.527059929679074,438,True
fock,epsilon_a (physical),3.0,BA3,3.527059929690816,438,True
squeezed,epsilon_p (non-commuting),1.5,none,0.3995967753880024,144,True
squeezed,epsilon_p (non-commuting),1.5,BA1,19.559673834392385,264,True
squeezed,epsilon_p (non-commuting),1.5,BA2,0.4020104834476134,144,True
squeezed,epsilon_p (non-commuting),1.5,BA3,5.082688273334441,264,True
cat_even,epsilon_p (non-commuting),1.5,none,3.1680066048226005,144,True
cat_even,epsilon_p (non-commuting),1.5,BA1,14.719063855378206,144,True
cat_even,epsilon_p (non-commuting),1.5,BA2,3.221308118355657,144,True
cat_even,epsilon_p (non-commuting),1.5,BA3,5.625823214049079,144,True
fock,epsilon_p (non-commuting),1.5,none,12.182124394260835,144,True
fock,epsilon_p (non-commuting),1.5,BA1,16.54457104241075,144,True
fock,epsilon_p (non-commuting),1.5,BA2,14.873441561493355,144,True
fock,epsilon_p (non-commuting),1.5,BA3,11.55073993107645,144,True
