eta_out,state,kappa,qfi_epsilon_a,cutoff,converged
1.0,coherent,0.0,3.999999999200003,73,True
1.0,coherent,0.25,3.999999999223359,73,True
1.0,coherent,0.5,3.9999999992154964,73,True
1.0,coherent,1.0,3.9999999991636823,88,True
1.0,coherent,1.5,3.9999999991822346,144,True
1.0,coherent,2.0,3.9999999992641544,219,True
1.0,coherent,3.0,3.999999999207607,438,True
1.0,squeezed,0.0,39.59591744124065,99,True
1.0,squeezed,0.25,39.595917441259935,99,True
1.0,squeezed,0.5,39.595917441212904,99,True
1.0,squeezed,1.0,39.59591462640153,88,True
1.0,squeezed,1.5,39.59591786377646,144,True
1.0,squeezed,2.0,39.59591786406818,219,True
1.0,squeezed,3.0,39.59591786391913,438,True
1.0,fock,0.0,19.999999984799995,73,True
1.0,fock,0.25,19.999999984795906,73,True
1.0,fock,0.5,19.999999984762557,73,True
1.0,fock,1.0,19.999999984795316,88,True
1.0,fock,1.5,19.99999998474911,144,True
1.0,fock,2.0,19.999999984803598,219,True
1.0,fock,3.0,19.999999984840056,438,True
1.0,cat_even,0.0,36.52270506258937,73,True
1.0,cat_even,0.25,36.5227050626029,73,True
1.0,cat_even,0.5,36.522705062608125,73,True
1.0,cat_even,1.0,36.52270506247353,88,True
1.0,cat_even,1.5,36.522705062596415,144,True
1.0,cat_even,2.0,36.522705062794415,219,True
1.0,cat_even,3.0,36.522705062553236,438,True
1.0,cat_odd,0.0,35.32006433938746,73,True
1.0,cat_odd,0.25,35.32006433937893,73,True
1.0,cat_odd,0.5,35.320064339420966,73,True
1.0,cat_odd,1.0,35.32006433922429,88,True
1.0,cat_odd,1.5,35.320064339289836,144,True
1.0,cat_odd,2.0,35.32006433956417,219,True
1.0,cat_odd,3.0,35.32006433936953,438,True
1.0,squeezed_cat,0.0,39.590034083346886,73,True
1.0,squeezed_cat,0.25,39.59003408338699,73,True
1.0,squeezed_cat,0.5,39.590034083351,73,True
1.0,squeezed_cat,1.0,39.59003465241177,88,True
1.0,squeezed_cat,1.5,39.59003465859825,144,True
1.0,squeezed_cat,2.0,39.590034658847344,219,True
1.0,squeezed_cat,3.0,39.5900346586547,438,True
0.95,coherent,0.0,3.7999999992780134,73,True
0.95,coherent,0.25,3.788752135918058,73,True
0.95,coherent,0.5,3.755404569321021,73,True
0.95,coherent,1.0,3.6276849596392133,88,True
0.95,coherent,1.5,3.4330886441746977,144,True
0.95,coherent,2.0,3.193277165910952,219,True
0.95,coherent,3.0,2.6619964124623285,438,True
0.95,squeezed,0.0,26.032837084421345,99,True
0.95,squeezed,0.25,25.490017810404687,99,True
0.95,squeezed,0.5,23.98951554289602,73,True
0.95,squeezed,1.0,19.416973289244385,218,True
0.95,squeezed,1.5,14.735849493079074,357,True
0.95,squeezed,2.0,11.017310345536938,540,True
0.95,squeezed,3.0,6.401729654661469,700,False
0.95,fock,0.0,15.590021967481967,73,True
0.95,fock,0.25,15.401137037952278,73,True
0.95,fock,0.5,14.857554998203394,73,True
0.95,fock,1.0,12.98428841268361,88,True
0.95,fock,1.5,10.667289278863315,144,True
0.95,fock,2.0,8.49516003965371,219,True
0.95,fock,3.0,5.385343657830532,438,True
0.95,cat_even,0.0,23.376730848715738,73,True
0.95,cat_even,0.25,22.824925602772517,73,True
0.95,cat_even,0.5,21.28079426264526,73,True
0.95,cat_even,1.0,16.45743340613349,88,True
0.95,cat_even,1.5,11.538002504052212,144,True
0.95,cat_even,2.0,7.924234745041418,219,True
0.95,cat_even,3.0,4.239887089566996,438,True
0.95,cat_odd,0.0,22.872750045220826,73,True
0.95,cat_odd,0.25,22.345240905890485,73,True
0.95,cat_odd,0.5,20.866071161293576,73,True
0.95,cat_odd,1.0,16.21126381434926,88,True
0.95,cat_odd,1.5,11.396609300202412,144,True
0.95,cat_odd,2.0,7.807073634313413,219,True
0.95,cat_odd,3.0,4.113577719315536,438,True
0.95,squeezed_cat,0.0,26.009356280104058,73,True
0.95,squeezed_cat,0.25,25.46605328284418,73,True
0.95,squeezed_cat,0.5,23.964255971916085,73,True
0.95,squeezed_cat,1.0,19.39044784856907,161,True
0.95,squeezed_cat,1.5,14.712306303645411,264,True
0.95,squeezed_cat,2.0,10.999317169737608,400,True
0.95,squeezed_cat,3.0,6.393006619524715,700,True
0.9,coherent,0.0,3.5999999993520047,73,True
0.9,coherent,0.25,3.579863229672585,73,True
0.9,coherent,0.5,3.5207823793314565,73,True
0.9,coherent,1.0,3.302752203298736,88,True
0.9,coherent,1.5,2.993762801341026,144,True
0.9,coherent,2.0,2.6470587968816406,219,True
0.9,coherent,3.0,1.9889501854153686,438,True
0.9,squeezed,0.0,18.856216706915713,99,True
0.9,squeezed,0.25,18.264915282353456,73,True
0.9,squeezed,0.5,16.694415830892332,99,True
0.9,squeezed,1.0,12.421994843385134,161,True
0.9,squeezed,1.5,8.707829307835159,264,True
0.9,squeezed,2.0,6.138331589099705,400,True
0.9,squeezed,3.0,3.330469788539068,700,True
0.9,fock,0.0,12.182124394260828,73,True
0.9,fock,0.25,11.962328842694546,73,True
0.9,fock,0.5,11.34839030846637,73,True
0.9,fock,1.0,9.426248370650558,88,True
0.9,fock,1.5,7.392473556798502,144,True
0.9,fock,2.0,5.728020182322386,219,True
0.9,fock,3.0,3.527059929690816,438,True
0.9,cat_even,0.0,15.365788492055161,73,True
0.9,cat_even,0.25,14.78267267697218,73,True
0.9,cat_even,0.5,13.233856896586175,73,True
0.9,cat_even,1.0,9.131799110713777,88,True
0.9,cat_even,1.5,5.94553381994101,144,True
0.9,cat_even,2.0,4.0908837344041,219,True
0.9,cat_even,3.0,2.3744781102791284,438,True
0.9,cat_odd,0.0,15.092073206279752,73,True
0.9,cat_odd,0.25,14.527785151656822,73,True
0.9,cat_odd,0.5,13.025773065656,73,True
0.9,cat_odd,1.0,9.018471836999886,88,True
0.9,cat_odd,1.5,5.870082835392882,144,True
0.9,cat_odd,2.0,4.027498096026075,219,True
0.9,cat_odd,3.0,2.336066359068406,438,True
0.9,squeezed_cat,0.0,18.826580605125706,73,True
0.9,squeezed_cat,0.25,18.235772003451725,73,True
0.9,squeezed_cat,0.5,16.666818089193185,73,True
0.9,squeezed_cat,1.0,12.400690533972934,161,True
0.9,squeezed_cat,1.5,8.694043149883505,195,True
0.9,squeezed_cat,2.0,6.130134942588951,296,True
0.9,squeezed_cat,3.0,3.327631114245844,700,True
0.7,coherent,0.0,2.7999999996080085,73,True
0.7,coherent,0.25,2.763726093429394,73,True
0.7,coherent,0.5,2.660332536144443,73,True
0.7,coherent,1.0,2.314049576926023,88,True
0.7,coherent,1.5,1.9015278965217917,144,True
0.7,coherent,2.0,1.5217390398773785,219,True
0.7,coherent,3.0,0.9688580632227632,438,True
0.7,squeezed,0.0,7.552981050808185,73,True
0.7,squeezed,0.25,7.203749436567168,73,True
0.7,squeezed,0.5,6.326226425652784,73,True
0.7,squeezed,1.0,4.253605468177587,161,True
0.7,squeezed,1.5,2.75129754221616,195,True
0.7,squeezed,2.0,1.840994428229786,400,True
0.7,squeezed,3.0,0.9463714543853516,700,True
0.7,fock,0.0,4.744036197175205,73,True
0.7,fock,0.25,4.70175256527812,73,True
0.7,fock,0.5,4.575943984468293,73,True
0.7,fock,1.0,4.100381395197592,88,True
0.7,fock,1.5,3.446435880965086,144,True
0.7,fock,2.0,2.796801259149281,219,True
0.7,fock,3.0,1.8283479177929822,438,True
0.7,cat_even,0.0,4.367602803998945,73,True
0.7,cat_even,0.25,4.210318502162929,73,True
0.7,cat_even,0.5,3.812490499510423,73,True
0.7,cat_even,1.0,2.850085210480671,88,True
0.7,cat_even,1.5,2.09634396282517,144,True
0.7,cat_even,2.0,1.576500317334983,219,True
0.7,cat_even,3.0,0.9555204517206431,438,True
0.7,cat_odd,0.0,4.035371645967825,73,True
0.7,cat_odd,0.25,3.9197006257206315,73,True
0.7,cat_odd,0.5,3.623728053258936,73,True
