exp,family,ba_type,chain,chi,nbar,theta_sig,eta_in,eta_out,pn,qfi,N_used
orderings,coherent,shear,BA1,0.0,4.0,0.0,1.0,1.0,0.0,1.9999999997999982,98
orderings,coherent,shear,BA1,0.5,4.0,0.0,1.0,1.0,0.0,1.9999999998021099,98
orderings,coherent,shear,BA1,1.0,4.0,0.0,1.0,1.0,0.0,1.9999999998002644,105
orderings,coherent,shear,BA1,2.0,4.0,0.0,1.0,1.0,0.0,1.9999999998000375,219
orderings,coherent,shear,BA2,0.0,4.0,0.0,1.0,1.0,0.0,1.9999999997999982,98
orderings,coherent,shear,BA2,0.5,4.0,0.0,1.0,1.0,0.0,1.9999999998023388,98
orderings,coherent,shear,BA2,1.0,4.0,0.0,1.0,1.0,0.0,1.9999999998003026,105
orderings,coherent,shear,BA2,2.0,4.0,0.0,1.0,1.0,0.0,1.9999999998000937,219
orderings,coherent,shear,BA3,0.0,4.0,0.0,1.0,1.0,0.0,1.9999999997999982,98
orderings,coherent,shear,BA3,0.5,4.0,0.0,1.0,1.0,0.0,1.99999999980195,98
orderings,coherent,shear,BA3,1.0,4.0,0.0,1.0,1.0,0.0,1.999999999798288,105
orderings,coherent,shear,BA3,2.0,4.0,0.0,1.0,1.0,0.0,1.9999999997997038,219
orderings,coherent,kerr,BA1,0.0,4.0,0.0,1.0,1.0,0.0,1.9999999997999982,98
orderings,coherent,kerr,BA1,0.05,4.0,0.0,1.0,1.0,0.0,1.1030902500164097,98
orderings,coherent,kerr,BA1,0.1,4.0,0.0,1.0,1.0,0.0,2.913995137485874,98
orderings,coherent,kerr,BA1,0.2,4.0,0.0,1.0,1.0,0.0,13.303844998200624,98
orderings,coherent,kerr,BA2,0.0,4.0,0.0,1.0,1.0,0.0,1.9999999997999982,98
orderings,coherent,kerr,BA2,0.05,4.0,0.0,1.0,1.0,0.0,1.9999999997981552,98
orderings,coherent,kerr,BA2,0.1,4.0,0.0,1.0,1.0,0.0,1.999999999800066,98
orderings,coherent,kerr,BA2,0.2,4.0,0.0,1.0,1.0,0.0,1.9999999998005507,98
orderings,coherent,kerr,BA3,0.0,4.0,0.0,1.0,1.0,0.0,1.9999999997999982,98
orderings,coherent,kerr,BA3,0.05,4.0,0.0,1.0,1.0,0.0,1.5280308046903415,98
orderings,coherent,kerr,BA3,0.1,4.0,0.0,1.0,1.0,0.0,0.8596226555670469,98
orderings,coherent,kerr,BA3,0.2,4.0,0.0,1.0,1.0,0.0,2.017960332213881,98
orderings,squeezed,shear,BA1,0.0,4.0,0.0,1.0,1.0,0.0,35.88851151781654,138
orderings,squeezed,shear,BA1,0.5,4.0,0.0,1.0,1.0,0.0,35.888511517816546,138
orderings,squeezed,shear,BA1,1.0,4.0,0.0,1.0,1.0,0.0,35.88731255363916,105
orderings,squeezed,shear,BA1,2.0,4.0,0.0,1.0,1.0,0.0,35.88854375038035,219
orderings,squeezed,shear,BA2,0.0,4.0,0.0,1.0,1.0,0.0,35.88851151781654,138
orderings,squeezed,shear,BA2,0.5,4.0,0.0,1.0,1.0,0.0,35.88851151781657,138
orderings,squeezed,shear,BA2,1.0,4.0,0.0,1.0,1.0,0.0,35.887312553639234,105
orderings,squeezed,shear,BA2,2.0,4.0,0.0,1.0,1.0,0.0,35.88854375038024,219
orderings,squeezed,shear,BA3,0.0,4.0,0.0,1.0,1.0,0.0,35.88851151781654,138
orderings,squeezed,shear,BA3,0.5,4.0,0.0,1.0,1.0,0.0,35.88851151781653,138
orderings,squeezed,shear,BA3,1.0,4.0,0.0,1.0,1.0,0.0,35.887312553639205,105
orderings,squeezed,shear,BA3,2.0,4.0,0.0,1.0,1.0,0.0,35.88854375038009,219
orderings,squeezed,kerr,BA1,0.0,4.0,0.0,1.0,1.0,0.0,35.88851151781654,138
orderings,squeezed,kerr,BA1,0.05,4.0,0.0,1.0,1.0,0.0,18.408952904145334,98
orderings,squeezed,kerr,BA1,0.1,4.0,0.0,1.0,1.0,0.0,17.484845458440365,98
orderings,squeezed,kerr,BA1,0.2,4.0,0.0,1.0,1.0,0.0,17.759603368236668,98
orderings,squeezed,kerr,BA2,0.0,4.0,0.0,1.0,1.0,0.0,35.88851151781654,138
orderings,squeezed,kerr,BA2,0.05,4.0,0.0,1.0,1.0,0.0,35.888511517816546,138
orderings,squeezed,kerr,BA2,0.1,4.0,0.0,1.0,1.0,0.0,35.88851151781652,138
orderings,squeezed,kerr,BA2,0.2,4.0,0.0,1.0,1.0,0.0,35.888511517816546,138
orderings,squeezed,kerr,BA3,0.0,4.0,0.0,1.0,1.0,0.0,35.88851151781654,138
orderings,squeezed,kerr,BA3,0.05,4.0,0.0,1.0,1.0,0.0,21.612920932312203,98
orderings,squeezed,kerr,BA3,0.1,4.0,0.0,1.0,1.0,0.0,12.799687801011585,98
orderings,squeezed,kerr,BA3,0.2,4.0,0.0,1.0,1.0,0.0,6.6014661379038015,98
orderings,fock,shear,BA1,0.0,4.0,0.0,1.0,1.0,0.0,17.999999987799995,98
orderings,fock,shear,BA1,0.5,4.0,0.0,1.0,1.0,0.0,17.999999987799956,98
orderings,fock,shear,BA1,1.0,4.0,0.0,1.0,1.0,0.0,17.99999998779995,105
orderings,fock,shear,BA1,2.0,4.0,0.0,1.0,1.0,0.0,17.9999999878001,219
orderings,fock,shear,BA2,0.0,4.0,0.0,1.0,1.0,0.0,17.999999987799995,98
orderings,fock,shear,BA2,0.5,4.0,0.0,1.0,1.0,0.0,17.999999987800003,98
orderings,fock,shear,BA2,1.0,4.0,0.0,1.0,1.0,0.0,17.999999987800006,105
orderings,fock,shear,BA2,2.0,4.0,0.0,1.0,1.0,0.0,17.99999998779985,219
orderings,fock,shear,BA3,0.0,4.0,0.0,1.0,1.0,0.0,17.999999987799995,98
orderings,fock,shear,BA3,0.5,4.0,0.0,1.0,1.0,0.0,17.999999987800038,98
orderings,fock,shear,BA3,1.0,4.0,0.0,1.0,1.0,0.0,17.99999998780001,105
orderings,fock,shear,BA3,2.0,4.0,0.0,1.0,1.0,0.0,17.999999987799512,219
