state,kappa_ba,noise,strength,ordering,qfi,qfi_exact_gaussian
coherent,0.5,loss,0.9,SBL,3.302752293438111,3.302752293577982
coherent,0.5,loss,0.9,SLB,3.5999999993822667,3.5999999999999996
coherent,0.5,loss,0.9,BSL,3.3027522935021767,3.302752293577982
coherent,0.5,loss,0.9,BLS,3.669724770606103,3.6697247706422025
coherent,0.5,loss,0.9,LSB,3.999999999125558,4.0
coherent,0.5,loss,0.9,LBS,3.999999999132111,4.0
coherent,0.5,loss,0.7,SBL,2.314049586250311,2.3140495867768593
coherent,0.5,loss,0.7,SLB,2.8000000000238985,2.8000000000000003
coherent,0.5,loss,0.7,BSL,2.3140495863013824,2.3140495867768593
coherent,0.5,loss,0.7,BLS,3.305785123350664,3.3057851239669422
coherent,0.5,loss,0.7,LSB,3.9999999993417306,4.0
coherent,0.5,loss,0.7,LBS,3.999999999334391,4.0
coherent,0.5,dephase,0.1,SBL,1.5320088423382003,
coherent,0.5,dephase,0.1,SLB,2.1305581847892796,
coherent,0.5,dephase,0.1,BSL,1.532008840523226,
coherent,0.5,dephase,0.1,BLS,1.6560204234188178,
coherent,0.5,dephase,0.1,LSB,2.3363753845733672,
coherent,0.5,dephase,0.1,LBS,2.3363753845431545,
coherent,2.0,loss,0.9,SBL,1.235315646520425,1.4754098360655743
coherent,2.0,loss,0.9,SLB,3.5999999993806164,3.5999999999999996
coherent,2.0,loss,0.9,BSL,1.2353156465158988,1.4754098360655743
coherent,2.0,loss,0.9,BLS,4.38296663979445,1.6393442622950825
coherent,2.0,loss,0.9,LSB,3.999999999129681,4.0
coherent,2.0,loss,0.9,LBS,3.9999999991291424,4.0
coherent,2.0,loss,0.7,SBL,0.5677343062402623,0.6422018348623855
coherent,2.0,loss,0.7,SLB,2.800000000020508,2.8000000000000003
coherent,2.0,loss,0.7,BSL,0.5677343062375153,0.6422018348623855
coherent,2.0,loss,0.7,BLS,2.300082815233017,0.9174311926605506
coherent,2.0,loss,0.7,LSB,3.999999999338374,4.0
coherent,2.0,loss,0.7,LBS,3.9999999993402406,4.0
coherent,2.0,dephase,0.1,SBL,1.3658913476515702,
coherent,2.0,dephase,0.1,SLB,2.1305581847895843,
coherent,2.0,dephase,0.1,BSL,1.365891350184765,
coherent,2.0,dephase,0.1,BLS,28.5632784582897,
coherent,2.0,dephase,0.1,LSB,2.336375384546503,
coherent,2.0,dephase,0.1,LBS,2.3363753845476736,
sqz_vac,0.5,loss,0.9,SBL,12.447618701076292,12.42199710750516
sqz_vac,0.5,loss,0.9,SLB,18.856035987295414,18.85621717048551
sqz_vac,0.5,loss,0.9,BSL,12.447618701076278,12.42199710750516
sqz_vac,0.5,loss,0.9,BLS,13.830687445729765,13.802219008339067
sqz_vac,0.5,loss,0.9,LSB,20.951151096913343,20.951352411650568
sqz_vac,0.5,loss,0.9,LBS,20.95115109691335,20.951352411650568
sqz_vac,0.5,loss,0.7,SBL,4.251176212789086,4.253606088181502
sqz_vac,0.5,loss,0.7,SLB,7.552948312155489,7.552984996906732
sqz_vac,0.5,loss,0.7,BSL,4.251176212789081,4.253606088181502
sqz_vac,0.5,loss,0.7,BLS,6.073108875523516,6.076580125973574
sqz_vac,0.5,loss,0.7,LSB,10.789926160456849,10.789978567009618
sqz_vac,0.5,loss,0.7,LBS,10.789926160456845,10.789978567009618
sqz_vac,0.5,dephase,0.1,SBL,39.59342095789105,
sqz_vac,0.5,dephase,0.1,SLB,39.59323263349979,
sqz_vac,0.5,dephase,0.1,BSL,39.59342095789117,
sqz_vac,0.5,dephase,0.1,BLS,39.621035133304716,
sqz_vac,0.5,dephase,0.1,LSB,36.04312434881373,
sqz_vac,0.5,dephase,0.1,LBS,36.04312434881373,
sqz_vac,2.0,loss,0.9,SBL,15.62099253709792,2.0302752319411668
sqz_vac,2.0,loss,0.9,SLB,18.856035987295314,18.85621717048516
sqz_vac,2.0,loss,0.9,BSL,15.620992537097957,2.0302752319411668
sqz_vac,2.0,loss,0.9,BLS,17.356658373207097,2.255861368823519
sqz_vac,2.0,loss,0.9,LSB,20.951151096913257,20.951352411650177
sqz_vac,2.0,loss,0.9,LBS,20.95115109691327,20.951352411650177
sqz_vac,2.0,loss,0.7,SBL,2.4431937945144635,0.5632075169712532
sqz_vac,2.0,loss,0.7,SLB,7.552948312155463,7.552984996906787
sqz_vac,2.0,loss,0.7,BSL,2.4431937945144555,0.5632075169712532
sqz_vac,2.0,loss,0.7,BLS,3.4902768493840663,0.8045821671017902
sqz_vac,2.0,loss,0.7,LSB,10.789926160456814,10.789978567009694
sqz_vac,2.0,loss,0.7,LBS,10.789926160456819,10.789978567009694
sqz_vac,2.0,dephase,0.1,SBL,39.581658618218924,
sqz_vac,2.0,dephase,0.1,SLB,39.59323263350005,
sqz_vac,2.0,dephase,0.1,BSL,39.5816586182195,
sqz_vac,2.0,dephase,0.1,BLS,61.78181404125098,
sqz_vac,2.0,dephase,0.1,LSB,36.04312434881363,
sqz_vac,2.0,dephase,0.1,LBS,36.04312434881366,
cat,0.5,loss,0.9,SBL,9.131799138171962,
cat,0.5,loss,0.9,SLB,15.365788503129036,
cat,0.5,loss,0.9,BSL,9.131799138171942,
cat,0.5,loss,0.9,BLS,10.14644348605779,
cat,0.5,loss,0.9,LSB,17.073098329924782,
cat,0.5,loss,0.9,LBS,17.07309832992479,
cat,0.5,loss,0.7,SBL,2.8500852772120746,
cat,0.5,loss,0.7,SLB,4.3676028038878485,
cat,0.5,loss,0.7,BSL,2.8500852772120773,
cat,0.5,loss,0.7,BLS,4.07155039606058,
cat,0.5,loss,0.7,LSB,6.239432576193893,
cat,0.5,loss,0.7,LBS,6.239432576193891,
cat,0.5,dephase,0.1,SBL,36.52155215161269,
cat,0.5,dephase,0.1,SLB,36.519238371038135,
cat,0.5,dephase,0.1,BSL,36.521552151613434,
cat,0.5,dephase,0.1,BLS,36.83786831540314,
cat,0.5,dephase,0.1,LSB,33.5276467314298,
cat,0.5,dephase,0.1,LBS,33.52764673142981,
cat,2.0,loss,0.9,SBL,11.754953757549723,
cat,2.0,loss,0.9,SLB,15.36578850312899,
cat,2.0,loss,0.9,BSL,11.754953757549726,
cat,2.0,loss,0.9,BLS,13.061059731799265,
cat,2.0,loss,0.9,LSB,17.073098329924747,
cat,2.0,loss,0.9,LBS,17.07309832992477,
cat,2.0,loss,0.7,SBL,2.246251130656643,
cat,2.0,loss,0.7,SLB,4.367602803887838,
cat,2.0,loss,0.7,BSL,2.246251130656593,
cat,2.0,loss,0.7,BLS,3.2089301886182025,
cat,2.0,loss,0.7,LSB,6.239432576193876,
cat,2.0,loss,0.7,LBS,6.239432576193884,
cat,2.0,dephase,0.1,SBL,36.49666478250335,
cat,2.0,dephase,0.1,SLB,36.51923837102387,
cat,2.0,dephase,0.1,BSL,36.496664782500865,
cat,2.0,dephase,0.1,BLS,76.60204964552607,
cat,2.0,dephase,0.1,LSB,33.52764673142977,
cat,2.0,dephase,0.1,LBS,33.52764673142978,
