freq_hz,K,n_target,state,placement,eta,qfi,eps_min,n_actual,theta,split,method
20.0,2.37894731178945,2.0,coherent,none,1.0,4.000000000000002,0.4999999999999999,2.0,,,gaussian
20.0,2.37894731178945,2.0,coherent,det,0.9,2.3851403717859148,0.6475048537150386,2.0,,,gaussian
20.0,2.37894731178945,2.0,coherent,det,0.7,1.2794315138791763,0.8840798213753809,2.0,,,gaussian
20.0,2.37894731178945,2.0,coherent,inj,0.9,4.000000000000002,0.4999999999999999,2.0,,,gaussian
20.0,2.37894731178945,2.0,coherent,conc,0.9,3.2193962533245233,0.5573304644680946,2.0,,,gaussian
20.0,2.37894731178945,2.0,sqz_vac,none,1.0,39.59591794226859,0.15891862259788475,2.0,0.0,,gaussian
20.0,2.37894731178945,2.0,sqz_vac,det,0.9,7.818436045685648,0.357635034173063,2.0,1.7976891295541595,,gaussian
20.0,2.37894731178945,2.0,sqz_vac,det,0.7,4.0312081147033485,0.4980608325621288,2.0,2.181661564992912,,gaussian
20.0,2.37894731178945,2.0,sqz_vac,inj,0.9,20.951352411650273,0.21847108675422108,2.0,0.0,,gaussian
20.0,2.37894731178945,2.0,sqz_vac,conc,0.9,12.33063268698805,0.2847785796042683,2.0,1.1344640137963142,,gaussian
20.0,2.37894731178945,2.0,cat,none,1.0,36.52270506258908,0.16546971996344087,1.999999999999997,,,fock(N=246)
20.0,2.37894731178945,2.0,cat,det,0.9,3.2411459405729475,0.5554573356750936,1.999999999999997,,,fock(N=246)
20.0,2.37894731178945,2.0,cat,det,0.7,1.2910747617706309,0.8800843621029614,1.999999999999997,,,fock(N=246)
20.0,2.37894731178945,2.0,cat,inj,0.9,17.073098346201547,0.2420158608419784,1.999999999999997,,,fock(N=246)
20.0,2.37894731178945,2.0,cat,conc,0.9,6.657201157335265,0.38757357595165526,1.999999999999997,,,fock(N=246)
20.0,2.37894731178945,2.0,sqz_cat,none,1.0,39.5957267999089,0.1589190061751836,1.9999999999999998,0.0,0.75,fock(N=261)
20.0,2.37894731178945,2.0,sqz_cat,det,0.9,7.660720395609162,0.3612976977861216,2.0000000000000004,1.7976891295541595,0.75,fock(N=161)
20.0,2.37894731178945,2.0,sqz_cat,det,0.7,3.503249884470522,0.5342744941810933,1.9999999999998492,2.181661564992912,0.75,fock(N=134)
20.0,2.37894731178945,2.0,sqz_cat,inj,0.9,20.95013546479901,0.2184774319122455,1.9999999999999998,0.0,0.75,fock(N=261)
20.0,2.37894731178945,2.0,sqz_cat,conc,0.9,12.311989012965034,0.28499411385247914,2.0000000000000004,1.1344640137963142,0.75,fock(N=211)
20.0,2.37894731178945,2.0,fock,none,1.0,19.99999998479996,0.2236067978349498,2.0,,,fock(N=163)
20.0,2.37894731178945,2.0,fock,det,0.9,4.741356832710426,0.4592494864215465,2.0,,,fock(N=163)
20.0,2.37894731178945,2.0,fock,det,0.7,2.373527387841928,0.6490869480063732,2.0,,,fock(N=163)
20.0,2.37894731178945,2.0,fock,inj,0.9,13.53569377153418,0.2718064383637047,2.0,,,fock(N=163)
20.0,2.37894731178945,2.0,fock,conc,0.9,7.697871914265938,0.3604247946799752,2.0,,,fock(N=163)
30.9,0.9938982851922182,2.0,coherent,none,1.0,4.0,0.5,2.0,,,gaussian
30.9,0.9938982851922182,2.0,coherent,det,0.9,3.306073404709976,0.549976020214044,2.0,,,gaussian
30.9,0.9938982851922182,2.0,coherent,det,0.7,2.3189460158485944,0.6566813475658949,2.0,,,gaussian
30.9,0.9938982851922182,2.0,coherent,inj,0.9,4.0,0.5,2.0,,,gaussian
30.9,0.9938982851922182,2.0,coherent,conc,0.9,3.680624701415252,0.5212417951061012,2.0,,,gaussian
30.9,0.9938982851922182,2.0,sqz_vac,none,1.0,39.59591794226525,0.15891862259789147,2.0,0.0,,gaussian
30.9,0.9938982851922182,2.0,sqz_vac,det,0.9,15.128548031385243,0.2570995850956908,2.0,0.9599310885968813,,gaussian
30.9,0.9938982851922182,2.0,sqz_vac,det,0.7,6.553481494946672,0.3906285317737012,2.0,1.361356816555577,,gaussian
30.9,0.9938982851922182,2.0,sqz_vac,inj,0.9,20.951352411650568,0.21847108675421956,2.0,0.0,,gaussian
30.9,0.9938982851922182,2.0,sqz_vac,conc,0.9,17.961032166296857,0.23595780890779758,2.0,0.5235987755982988,,gaussian
30.9,0.9938982851922182,2.0,cat,none,1.0,36.52270506258929,0.16546971996344037,1.9999999999999982,,,fock(N=118)
30.9,0.9938982851922182,2.0,cat,det,0.9,9.179499786362047,0.33005817346764943,1.9999999999999982,,,fock(N=118)
30.9,0.9938982851922182,2.0,cat,det,0.7,2.8609504212895733,0.5912141694403222,1.9999999999999982,,,fock(N=118)
30.9,0.9938982851922182,2.0,cat,inj,0.9,17.073098335360108,0.24201586091881863,1.9999999999999982,,,fock(N=118)
30.9,0.9938982851922182,2.0,cat,conc,0.9,13.144105446539326,0.2758255435909422,1.9999999999999982,,,fock(N=118)
30.9,0.9938982851922182,2.0,sqz_cat,none,1.0,39.59572679964894,0.15891900617570529,1.9999999999999996,0.0,0.75,fock(N=123)
30.9,0.9938982851922182,2.0,sqz_cat,det,0.9,15.112266355632178,0.25723804497676644,2.0000000000000004,0.9599310885968813,0.75,fock(N=111)
30.9,0.9938982851922182,2.0,sqz_cat,det,0.7,6.518086240455337,0.391687713576347,1.999999999999997,1.361356816555577,0.75,fock(N=102)
30.9,0.9938982851922182,2.0,sqz_cat,inj,0.9,20.95013546472568,0.21847743191262786,1.9999999999999996,0.0,0.75,fock(N=123)
30.9,0.9938982851922182,2.0,sqz_cat,conc,0.9,17.958217365633438,0.23597630039165784,1.9999999999999993,0.5235987755982988,0.75,fock(N=119)
30.9,0.9938982851922182,2.0,fock,none,1.0,19.999999984799928,0.22360679783494997,2.0,,,fock(N=93)
30.9,0.9938982851922182,2.0,fock,det,0.9,9.452011974123419,0.3252654004675167,2.0,,,fock(N=93)
30.9,0.9938982851922182,2.0,fock,det,0.7,4.107640595900294,0.4934052671622782,2.0,,,fock(N=93)
30.9,0.9938982851922182,2.0,fock,inj,0.9,13.535693771386407,0.2718064383651884,2.0,,,fock(N=93)
30.9,0.9938982851922182,2.0,fock,conc,0.9,11.52681245845769,0.2945407486691077,2.0,,,fock(N=93)
47.7,0.414393136956846,2.0,coherent,none,1.0,4.000000000000001,0.5,2.0,,,gaussian
47.7,0.414393136956846,2.0,coherent,det,0.9,3.5452089709268155,0.5311033981972824,2.0,,,gaussian
47.7,0.414393136956846,2.0,coherent,det,0.7,2.7025421385414736,0.6082943222977075,2.0,,,gaussian
47.7,0.414393136956846,2.0,coherent,inj,0.9,4.000000000000001,0.5,2.0,,,gaussian
47.7,0.414393136956846,2.0,coherent,conc,0.9,3.7751089397583044,0.5146775863705605,2.0,,,gaussian
47.7,0.414393136956846,2.0,sqz_vac,none,1.0,39.59591794226543,0.1589186225978911,2.0,0.0,,gaussian
47.7,0.414393136956846,2.0,sqz_vac,det,0.9,18.081375173931484,0.23517127364303253,2.0,0.4188790204786391,,gaussian
47.7,0.414393136956846,2.0,sqz_vac,det,0.7,7.357937672754387,0.36865654417138366,2.0,0.6457718232379019,,gaussian
47.7,0.414393136956846,2.0,sqz_vac,inj,0.9,20.951352411650518,0.2184710867542198,2.0,0.0,,gaussian
47.7,0.414393136956846,2.0,sqz_vac,conc,0.9,19.517939099125304,0.22635131438742537,2.0,0.22689280275926285,,gaussian
47.7,0.414393136956846,2.0,cat,none,1.0,36.5227050625894,0.16546971996344012,1.9999999999999982,,,fock(N=96)
47.7,0.414393136956846,2.0,cat,det,0.9,13.846336417707244,0.2687401531824756,1.9999999999999982,,,fock(N=96)
47.7,0.414393136956846,2.0,cat,det,0.7,3.966612368113218,0.5020998818152703,1.9999999999999982,,,fock(N=96)
47.7,0.414393136956846,2.0,cat,inj,0.9,17.073098333411487,0.2420158609326297,1.9999999999999982,,,fock(N=96)
47.7,0.414393136956846,2.0,cat,conc,0.9,15.589697010720116,0.2532684909227192,1.9999999999999982,,,fock(N=96)
47.7,0.414393136956846,2.0,sqz_cat,none,1.0,39.5957267348873,0.158919006305667,2.000000000000001,0.0,0.75,fock(N=98)
47.7,0.414393136956846,2.0,sqz_cat,det,0.9,18.07674168586975,0.23520141163720976,1.9999999999999996,0.4188790204786391,0.75,fock(N=97)
47.7,0.414393136956846,2.0,sqz_cat,det,0.7,7.35499040403515,0.3687304002211666,2.0,0.6457718232379019,0.75,fock(N=95)
47.7,0.414393136956846,2.0,sqz_cat,inj,0.9,20.950135445821935,0.21847743201119624,2.000000000000001,0.0,0.75,fock(N=98)
47.7,0.414393136956846,2.0,sqz_cat,conc,0.9,19.516962127307778,0.22635697961560544,1.9999999999999993,0.22689280275926285,0.75,fock(N=98)
