id,state_type,loss_config,eta,pn,N_target,n_sups,N_basis,qfi,N_actual,gradient_refined,cost_final,valid,notes,qfi_converged,N_basis_converged
fock_sup_loss_ch_eta0p55_pn0_Nt5_ns1,fock_sup,loss_ch,0.55,0,5,1,40,3.36189,3,true,-3.36189,,,3.36189,60
fock_sup_loss_ch_eta0p55_pn0_Nt5_ns2,fock_sup,loss_ch,0.55,0,5,2,40,4.92659,4.34381,true,-4.92659,,,4.92659,60
fock_sup_loss_ch_eta0p55_pn0p05_Nt5_ns1,fock_sup,loss_ch,0.55,0.05,5,1,40,3.36189,3,true,-3.36189,,,3.36189,60
fock_sup_loss_ch_eta0p55_pn0p05_Nt5_ns2,fock_sup,loss_ch,0.55,0.05,5,2,40,4.90948,4.34789,true,-4.90948,,,4.90948,60
fock_sup_loss_ch_eta0p55_pn0p2_Nt5_ns1,fock_sup,loss_ch,0.55,0.2,5,1,40,3.36189,3,true,-3.36189,,,3.36189,60
fock_sup_loss_ch_eta0p55_pn0p2_Nt5_ns2,fock_sup,loss_ch,0.55,0.2,5,2,40,4.68338,4.39603,true,-4.68338,,,4.68338,60
fock_sup_loss_ch_eta0p5_pn0_Nt1_ns1,fock_sup,loss_ch,0.5,0,1,1,40,2.85685,0,true,-2.85685,,,2.85685,60
fock_sup_loss_ch_eta0p5_pn0_Nt1_ns2,fock_sup,loss_ch,0.5,0,1,2,40,3.87466,0.300921,true,-3.87466,,,3.87466,60
fock_sup_loss_ch_eta0p5_pn0_Nt1_ns3,fock_sup,loss_ch,0.5,0,1,3,40,4.37825,0.685372,true,-4.37825,,,4.37825,60
fock_sup_loss_ch_eta0p5_pn0_Nt1_ns4,fock_sup,loss_ch,0.5,0,1,4,40,4.6527,1,true,-4.6527,,,4.6527,60
fock_sup_loss_ch_eta0p5_pn0_Nt1_ns5,fock_sup,loss_ch,0.5,0,1,5,40,4.4186,0.965105,true,-4.4186,,,4.4186,60
fock_sup_loss_ch_eta0p5_pn0_Nt2_ns1,fock_sup,loss_ch,0.5,0,2,1,60,2.85685,0,true,-2.85685,,,2.85685,90
fock_sup_loss_ch_eta0p5_pn0_Nt2_ns2,fock_sup,loss_ch,0.5,0,2,2,60,3.87466,0.300915,true,-3.87466,,,3.87466,90
fock_sup_loss_ch_eta0p5_pn0_Nt2_ns3,fock_sup,loss_ch,0.5,0,2,3,60,4.37825,0.685368,true,-4.37825,,,4.37825,90
fock_sup_loss_ch_eta0p5_pn0_Nt2_ns4,fock_sup,loss_ch,0.5,0,2,4,60,4.65352,1.04139,true,-4.65352,,,4.65352,90
