state,loss_placement,kappa,qfi_epsilon_a,cutoff,converged
squeezed,injection,0.0,14.244174996201302,73,True
squeezed,injection,0.25,14.244174996219432,73,True
squeezed,injection,0.5,14.244174996204151,73,True
squeezed,injection,1.0,14.244180650153966,88,True
squeezed,injection,1.5,14.244180989633385,144,True
squeezed,injection,2.0,14.244180989684892,219,True
squeezed,injection,3.0,14.244180989638888,438,True
squeezed,detection,0.0,11.39533881916791,73,True
squeezed,detection,0.25,10.921180362450267,73,True
squeezed,detection,0.5,9.70918491036143,99,True
squeezed,detection,1.0,6.724244743840027,161,True
squeezed,detection,1.5,4.4461031261406605,195,True
squeezed,detection,2.0,3.015713657479527,296,True
squeezed,detection,3.0,1.5713413743018265,700,True
cat_even,injection,0.0,9.318144480737146,73,True
cat_even,injection,0.25,9.318144480740699,73,True
cat_even,injection,0.5,9.318144480749007,73,True
cat_even,injection,1.0,9.318144480698066,88,True
cat_even,injection,1.5,9.318144480747325,144,True
cat_even,injection,2.0,9.31814448081476,219,True
cat_even,injection,3.0,9.318144480722697,438,True
cat_even,detection,0.0,7.454515585535395,73,True
cat_even,detection,0.25,7.123621490959222,73,True
cat_even,detection,0.5,6.291061906517726,73,True
cat_even,detection,1.0,4.365569861339974,88,True
cat_even,detection,1.5,3.0396713256826855,144,True
cat_even,detection,2.0,2.2369546752090543,219,True
cat_even,detection,3.0,1.3596618337553315,438,True
fock,injection,0.0,9.404444438314657,73,True
fock,injection,0.25,9.40444443830497,73,True
fock,injection,0.5,9.404444438308218,73,True
fock,injection,1.0,9.404444438293435,88,True
fock,injection,1.5,9.404444438300445,144,True
fock,injection,2.0,9.404444438330431,219,True
fock,injection,3.0,9.404444438325106,438,True
fock,detection,0.0,7.523555551632503,73,True
fock,detection,0.25,7.3955139866872495,73,True
fock,detection,0.5,7.043029147730555,73,True
fock,detection,1.0,5.964043955156685,88,True
fock,detection,1.5,4.7935158185303886,144,True
fock,detection,2.0,3.762625624168584,219,True
fock,detection,3.0,2.3302037495617505,438,True
coherent,injection,0.0,3.9999999992000017,73,True
coherent,injection,0.25,3.999999999233393,73,True
coherent,injection,0.5,3.9999999991857873,73,True
coherent,injection,1.0,3.999999999186113,88,True
coherent,injection,1.5,3.99999999916505,144,True
coherent,injection,2.0,3.999999999254704,219,True
coherent,injection,3.0,3.999999999225263,438,True
coherent,detection,0.0,3.1999999994880044,73,True
coherent,detection,0.25,3.1683168310817487,73,True
coherent,detection,0.5,3.07692293586918,73,True
coherent,detection,1.0,2.7586206409345424,88,True
coherent,detection,1.5,2.3529411527803568,144,True
coherent,detection,2.0,1.9512193999935228,219,True
coherent,detection,3.0,1.3114753699928594,438,True
