state,sigma_phi_rad,qfi_epsilon_a,cutoff,converged
squeezed,0.0,12.421994843385134,161,True
squeezed,0.05,11.62067913745074,119,True
squeezed,0.1,10.109116918794328,161,True
squeezed,0.15,8.721385744871586,161,True
squeezed,0.2,7.639377109639939,161,True
squeezed,0.3,6.259991303683123,161,True
squeezed,0.4,5.519192572500368,161,True
squeezed,0.5,5.054272404526534,161,True
cat_even,0.0,9.131799110713777,88,True
cat_even,0.05,9.042474952810943,88,True
cat_even,0.1,8.814997200856283,88,True
cat_even,0.15,8.513374085615943,88,True
cat_even,0.2,8.19585860804467,88,True
cat_even,0.3,7.650108737236657,88,True
cat_even,0.4,7.252561099567295,88,True
cat_even,0.5,6.928292897968883,88,True
coherent,0.0,3.302752203298736,88,True
coherent,0.05,3.2492285803558265,88,True
coherent,0.1,3.100010870034928,88,True
coherent,0.15,2.8837342280784757,88,True
coherent,0.2,2.6345575833910693,88,True
coherent,0.3,2.1473459530344416,88,True
coherent,0.4,1.7715481507666873,88,True
coherent,0.5,1.534265073605591,88,True
fock,0.0,9.426248370650558,88,True
fock,0.05,9.426248370650558,88,True
fock,0.1,9.426248370650558,88,True
fock,0.15,9.426248370650558,88,True
fock,0.2,9.426248370650558,88,True
fock,0.3,9.426248370650558,88,True
fock,0.4,9.426248370650558,88,True
fock,0.5,9.426248370650558,88,True
