state,loss_placement,kappa,qfi_lambda,cutoff,converged
squeezed,injection,0.0,7.121945471256664,54,True
squeezed,injection,0.25,7.121945471256657,54,True
squeezed,injection,0.5,7.121945471256659,54,True
squeezed,injection,1.0,7.122076913622473,65,True
squeezed,injection,1.5,7.122090857858527,106,True
squeezed,injection,2.0,7.122090863235246,162,True
squeezed,injection,3.0,7.122090863235288,324,True
squeezed,detection,0.0,5.697556377005318,54,True
squeezed,detection,0.25,5.460531060317219,54,True
squeezed,detection,0.5,4.854695949002997,54,True
squeezed,detection,1.0,3.3643022147479296,65,True
squeezed,detection,1.5,2.222970315287262,106,True
squeezed,detection,2.0,1.5085029504493797,162,True
squeezed,detection,3.0,0.7857700741646891,438,True
cat_even,injection,0.0,4.659072243323828,54,True
cat_even,injection,0.25,4.6590722433238305,54,True
cat_even,injection,0.5,4.659072243323828,54,True
cat_even,injection,1.0,4.659072243323815,65,True
cat_even,injection,1.5,4.6590722433238225,106,True
cat_even,injection,2.0,4.659072243323838,162,True
cat_even,injection,3.0,4.659072243323836,324,True
cat_even,detection,0.0,3.72725779465906,54,True
cat_even,detection,0.25,3.5618107535545973,54,True
cat_even,detection,0.5,3.1455309703535783,54,True
cat_even,detection,1.0,2.182784979691865,65,True
cat_even,detection,1.5,1.5198357799771554,106,True
cat_even,detection,2.0,1.1184773858008084,162,True
cat_even,detection,3.0,0.6798309765184196,324,True
