eta_out,kappa,theta_opt_deg,x_extent_dB,qfi_lambda
1.0,0.0,0.0,9.955904242306783,19.797958971132715
1.0,0.1,0.0,9.955904242306783,19.797958971132715
1.0,0.2,0.0,9.955904242306783,19.797958971132715
1.0,0.30000000000000004,0.0,9.955904242306783,19.797958971132715
1.0,0.4,0.0,9.955904242306783,19.797958971132715
1.0,0.5,0.0,9.955904242306783,19.797958971132715
1.0,0.6000000000000001,0.0,9.955904242306783,19.797958971132715
1.0,0.7000000000000001,0.0,9.955904242306783,19.797958971132626
1.0,0.8,0.0,9.955904242306783,19.797958971132626
1.0,0.9,0.0,9.955904242306783,19.797958971132626
1.0,1.0,0.0,9.955904242306783,19.797958971132626
1.0,1.1,0.0,9.955904242306783,19.79795897113297
1.0,1.2000000000000002,0.0,9.955904242306783,19.797958971132694
1.0,1.3,0.0,9.955904242306783,19.797958971133287
1.0,1.4000000000000001,0.0,9.955904242306783,19.79795897113325
1.0,1.5,0.0,9.955904242306783,19.7979589711328
1.0,1.6,0.0,9.955904242306783,19.797958971132974
1.0,1.7000000000000002,0.0,9.955904242306783,19.79795897113325
1.0,1.8,0.0,9.955904242306783,19.79795897113228
1.0,1.9000000000000001,0.0,9.955904242306783,19.797958971133113
1.0,2.0,0.0,9.955904242306783,19.797958971132974
1.0,2.1,0.0,9.955904242306783,19.79795897113228
1.0,2.2,0.0,9.955904242306783,19.79795897113297
1.0,2.3000000000000003,0.0,9.955904242306783,19.79795897113339
1.0,2.4000000000000004,0.0,9.955904242306783,19.79795897113353
1.0,2.5,0.0,9.955904242306783,19.797958971133326
1.0,2.6,0.0,9.955904242306783,19.797958971134644
1.0,2.7,0.0,9.955904242306783,19.797958971133532
1.0,2.8000000000000003,0.0,9.955904242306783,19.79795897113325
1.0,2.9000000000000004,0.0,9.955904242306783,19.797958971129148
1.0,3.0,0.0,9.955904242306783,19.797958971132278
1.0,3.1,0.0,9.955904242306783,19.797958971131166
1.0,3.2,0.0,9.955904242306783,19.797958971133532
1.0,3.3000000000000003,0.0,9.955904242306783,19.797958971131443
1.0,3.4000000000000004,0.0,9.955904242306783,19.79795897113325
1.0,3.5,0.0,9.955904242306783,19.797958971127407
1.0,3.6,0.0,9.955904242306783,19.79795897112852
1.0,3.7,0.0,9.955904242306783,19.797958971132275
1.0,3.8000000000000003,0.0,9.955904242306783,19.797958971130466
1.0,3.9000000000000004,0.0,9.955904242306783,19.797958971131024
1.0,4.0,0.0,9.955904242306783,19.79795897113019
1.0,4.1000000000000005,0.0,9.955904242306783,19.797958971128796
1.0,4.2,0.0,9.955904242306783,19.797958971123506
1.0,4.3,0.0,9.955904242306783,19.797958971126015
1.0,4.4,0.0,9.955904242306783,19.79795897113297
1.0,4.5,0.0,9.955904242306783,19.797958971126015
1.0,4.6000000000000005,0.0,9.955904242306783,19.79795897113019
1.0,4.7,0.0,9.955904242306783,19.797958971127265
1.0,4.800000000000001,0.0,9.955904242306783,19.79795897113353
1.0,4.9,0.0,9.955904242306783,19.79795897113325
1.0,5.0,0.0,9.955904242306783,19.797958971131585
0.95,0.0,0.0,9.955904242306783,13.016418819889324
0.95,0.1,2.0000000000000027,9.950665467337513,12.987165318874228
0.95,0.2,4.000000000000005,9.93493674994989,12.900185520840438
0.95,0.30000000000000004,5.749999999999998,9.912540391617924,12.757784094089123
0.95,0.4,7.750000000000002,9.877022679627363,12.563701947984242
0.95,0.5,9.750000000000004,9.830839295746099,12.322633726508624
0.95,0.6000000000000001,11.499999999999996,9.781592534973196,12.04021949533828
0.95,0.7000000000000001,13.5,9.715088336396006,11.72279872089781
0.95,0.8,15.250000000000005,9.647829005038183,11.376661368176364
