state,sigma_phase_rad,qfi_lambda,cutoff,converged
squeezed,0.0,6.211184382375499,88,True
squeezed,0.05,5.810697293864823,65,True
squeezed,0.1,5.057852531235781,65,True
squeezed,0.15000000000000002,4.365104066411882,65,True
squeezed,0.2,3.824787307952621,65,True
squeezed,0.25,3.425498921546863,65,True
squeezed,0.30000000000000004,3.130479321246888,88,True
squeezed,0.35000000000000003,2.9191887309584135,88,True
squeezed,0.4,2.7601525996509135,88,True
squeezed,0.45,2.633934890875777,88,True
squeezed,0.5,2.5277170963639737,88,True
cat_even,0.0,4.565899571095959,65,True
cat_even,0.05,4.521237504425722,65,True
cat_even,0.1,4.407498606138371,65,True
cat_even,0.15000000000000002,4.256687079437241,65,True
cat_even,0.2,4.097929339298858,65,True
cat_even,0.25,3.9512926745833257,65,True
cat_even,0.30000000000000004,3.8250544428789017,65,True
cat_even,0.35000000000000003,3.718435510095565,65,True
cat_even,0.4,3.6262805865017502,65,True
cat_even,0.45,3.542904819134146,65,True
cat_even,0.5,3.4641465194180565,65,True
coherent,0.0,1.6513761467600243,65,True
coherent,0.05,1.6246142932881984,65,True
coherent,0.1,1.5500054640163095,65,True
coherent,0.15000000000000002,1.4418671313971576,65,True
coherent,0.2,1.3172788081219597,65,True
coherent,0.25,1.191081616287711,65,True
coherent,0.30000000000000004,1.073672995282096,65,True
coherent,0.35000000000000003,0.9710418912786539,65,True
coherent,0.4,0.8857741540855844,65,True
coherent,0.45,0.8181689637746734,65,True
coherent,0.5,0.7671325670572913,65,True
