eta_out,state,kappa,qfi_lambda,cutoff,converged
1.0,coherent,0.0,1.9999999999999993,54,True
1.0,coherent,0.25,1.9999999999999996,54,True
1.0,coherent,0.5,1.9999999999999964,54,True
1.0,coherent,1.0,2.000000000000001,65,True
1.0,coherent,1.5,1.9999999999999996,106,True
1.0,coherent,2.0,2.0000000000000036,162,True
1.0,coherent,3.0,1.9999999999999902,324,True
1.0,squeezed,0.0,19.79668992924528,54,True
1.0,squeezed,0.25,19.79668992924529,54,True
1.0,squeezed,0.5,19.796689929245296,54,True
1.0,squeezed,1.0,19.797788381887592,65,True
1.0,squeezed,1.5,19.79795892512621,106,True
1.0,squeezed,2.0,19.79795897113199,162,True
1.0,squeezed,3.0,19.797958971132694,324,True
1.0,fock,0.0,10.000000000000007,54,True
1.0,fock,0.25,10.000000000000014,54,True
1.0,fock,0.5,10.000000000000016,54,True
1.0,fock,1.0,9.999999999999964,65,True
1.0,fock,1.5,9.999999999999996,106,True
1.0,fock,2.0,10.000000000000007,162,True
1.0,fock,3.0,10.000000000000014,324,True
1.0,cat_even,0.0,18.261352555898817,54,True
1.0,cat_even,0.25,18.261352555898824,54,True
1.0,cat_even,0.5,18.261352555898835,54,True
1.0,cat_even,1.0,18.261352555898757,65,True
1.0,cat_even,1.5,18.261352555898803,106,True
1.0,cat_even,2.0,18.261352555898853,162,True
1.0,cat_even,3.0,18.261352555898853,324,True
1.0,cat_odd,0.0,17.660032192618083,54,True
1.0,cat_odd,0.25,17.660032192618083,54,True
1.0,cat_odd,0.5,17.66003219261805,54,True
1.0,cat_odd,1.0,17.66003219261806,65,True
1.0,cat_odd,1.5,17.66003219261804,106,True
1.0,cat_odd,2.0,17.660032192618104,162,True
1.0,cat_odd,3.0,17.660032192618093,324,True
1.0,squeezed_cat,0.0,19.79496635273783,54,True
1.0,squeezed_cat,0.25,19.794966352737834,54,True
1.0,squeezed_cat,0.5,19.794966352737855,54,True
1.0,squeezed_cat,1.0,19.79501451274166,65,True
1.0,squeezed_cat,1.5,19.795017366914692,106,True
1.0,squeezed_cat,2.0,19.79501736692889,162,True
1.0,squeezed_cat,3.0,19.795017366928896,324,True
0.9,coherent,0.0,1.8000000000000003,54,True
0.9,coherent,0.25,1.7899316345210539,54,True
0.9,coherent,0.5,1.760391197988017,54,True
0.9,coherent,1.0,1.6513761467600243,65,True
0.9,coherent,1.5,1.4968814966192414,106,True
0.9,coherent,2.0,1.3235294106300568,162,True
0.9,coherent,3.0,0.9944751379375887,324,True
0.9,squeezed,0.0,9.427816500088346,54,True
0.9,squeezed,0.25,9.13229751272005,54,True
0.9,squeezed,0.5,8.347914582137479,54,True
0.9,squeezed,1.0,6.211184382375499,88,True
0.9,squeezed,1.5,4.353834513334253,144,True
0.9,squeezed,2.0,3.069504313854185,219,True
0.9,squeezed,3.0,1.665372604953393,438,True
0.9,fock,0.0,6.091062200956937,54,True
0.9,fock,0.25,5.981164492668085,54,True
0.9,fock,0.5,5.674195162215299,54,True
0.9,fock,1.0,4.713124186511955,65,True
0.9,fock,1.5,3.6962367985050717,106,True
0.9,fock,2.0,2.864010162365102,162,True
0.9,fock,3.0,1.7635300315383273,324,True
0.9,cat_even,0.0,7.68289425233867,54,True
0.9,cat_even,0.25,7.391336372942795,54,True
0.9,cat_even,0.5,6.616928477876751,54,True
0.9,cat_even,1.0,4.565899571095959,65,True
0.9,cat_even,1.5,2.9727670333173624,106,True
0.9,cat_even,2.0,2.045441954982371,162,True
0.9,cat_even,3.0,1.1872391208804398,324,True
0.9,cat_odd,0.0,7.546036609644748,54,True
0.9,cat_odd,0.25,7.263892590882895,54,True
0.9,cat_odd,0.5,6.512886548707862,54,True
0.9,cat_odd,1.0,4.509235928322599,65,True
0.9,cat_odd,1.5,2.935041491198635,106,True
0.9,cat_odd,2.0,2.0137491041169397,162,True
0.9,cat_odd,3.0,1.1680332454791864,324,True
0.9,squeezed_cat,0.0,9.413275390354658,54,True
0.9,squeezed_cat,0.25,9.117880854861866,54,True
0.9,squeezed_cat,0.5,8.333533778314285,54,True
