state,config,metric_i,metric_ii,metric_iii
cat,detection,10.089219180512156,3.2411751650390506,105.76710521112747
cat,injection,17.073098322530434,17.073098322530416,136.58478658024347
coherent,detection,3.3607050728581016,2.385137085794352,27.37820439643131
coherent,injection,3.9999999991515995,3.9999999991449537,31.999999993212796
fock,detection,9.97941452975913,4.7414660465712055,87.94754954533656
fock,injection,13.53569377045612,13.535693770456101,108.28555016364896
opt_fock_sup,detection,8.817718011700025,2.625404495569263,96.72602134084367
opt_fock_sup,injection,15.597042797747052,15.59704279774704,124.77634238197642
sqz_cat,detection,13.355937641807524,4.7908675033662735,131.45084731500816
sqz_cat,injection,20.91842269354966,20.91842269354956,167.34738154839732
sqz_vac,detection,13.375252786558821,4.796405765091207,131.6580992738388
sqz_vac,injection,20.95132292192096,20.95132292192089,167.6105833753677
